Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type
Carhartt Mosley Jacke,Carhartt,25.0,3,12,5,3,"Moin,
Ich verkaufe meine Carhartt Mosley Jacke in der Größe s.
Die Jacke ist in einem sehr guten Zustand.
Falls ihr Fragen habt meldet euch gerne.


#carharttwip #MosleyJacket #Workwear #Streetwear #Vintage #CasualStyle #Heritage #Outdoor #Fashion #ClassicFit",https://www.vinted.fr/items/5996815988-carhartt-mosley-jacke,manteaux
Carhartt Nimbus Pullover Windbreaker,Carhartt,60.0,3,1,4.9,808,"Ich biete Carhartt Nimbus Windbreaker Schlumpfjacke überzeijacke Regenjacke im ausgezeichnet Zustand an 

Keine gebrauchsspuren keine Abnutzung 
oder sonstige Beschädigungen 

Unisex 

Zustand Top, bitte den Bildern entnehmen!


Gefüttert 

Selbstverständlich Original 

Bei Weiteren Fragen oder Interesse gerne schreiben",https://www.vinted.fr/items/6014049900-carhartt-nimbus-pullover-windbreaker,manteaux
Carhartt Clarton Coat Jacke Schwarz Gr. L,Carhartt,88.0,3,4,5,112,"Verkaufe meine gefütterte Carhartt „Clarton“ Jacke perfekt für die noch kälteren Tage 

Sie ist mir leider arg zu groß geworden und noch mal reinpassen möchte ich weniger 

Farbe Schwarz - keine Flecken oder Löcher - nur ein paar mal getragen",https://www.vinted.fr/items/6008801001-carhartt-clarton-coat-jacke-schwarz-gr-l,manteaux
Carhartt Jacke/Parka,Carhartt,25.0,4,0,4.9,80,Guter Zustand.,https://www.vinted.fr/items/5998529879-carhartt-jackeparka,manteaux
Carhartt leichter Mantel ,Carhartt,12.0,3,73,4.3,61,"verkaufe hier meinen selten getragenen Frühlingsmantel der Marke carhartt. 
Es gibt keine Gebrauchsspuren.",https://www.vinted.fr/items/953619573-carhartt-leichter-mantel,manteaux
Carhartt Detroit Rework,Carhartt,89.99,4,8,4.8,109,"Rework Variante ✅

Perfekt für den Frühling 💯

Tags :

#nike #puma #adidas #6pm #peso #lfdy #systemic #Trendtvision #gorpcore #nikevintage #windbreaker #Niketech #nikesport #rueporter #tnf#streetwear #sweater #hose #hoodie #trackpants
#baggy #cropped #regenjacke #workwear #carhartt #99based #northface #pegador #6pm #lacoste #y2k #baggy #cropped #supreme #vintage #acne #blokecore #montbell",https://www.vinted.fr/items/6003068034-carhartt-detroit-rework,manteaux
Carhartt schwarze Winter Jacke in L,Carhartt,50.0,3,2,5,8,"Kaum getragen, sehr guter Zustand, steht zwar M drin aber ist eher ein L.",https://www.vinted.fr/items/5996077105-carhartt-schwarze-winter-jacke-in-l,manteaux
Carhartt Jacke / hickman coat,Carhartt,35.0,4,2,5,37,Passt nicht mehr und zu schade für den Schrank,https://www.vinted.fr/items/5990272581-carhartt-jacke-hickman-coat,manteaux
Carhartt W Hooded Sail Jacket,Carhartt,45.0,3,28,5,3,"„Alte"" Carhartt Jacke
Modell: W Hooded Sail Jacket in Größe L 🍂❄️

Vor Jahren gekauft und nur einen Winter getragen, danach leider im Schrank in Vergessenheit geraten.

Die Jacke fitted eher wie eine M als eine L 📏

Condition 8/10 ✅

Bei Fragen oder Preisvorschlägen einfach anschreiben 😊",https://www.vinted.fr/items/5986838451-carhartt-w-hooded-sail-jacket,manteaux
Carhartt Parka,Carhartt,35.0,3,0,4.8,20,"Wenig getragen, Pflegeetikett raus geschnitten",https://www.vinted.fr/items/5994942047-carhartt-parka,manteaux
Carhartt vintage Jacke windbreaker windstopper übergangsjacke Regenjacke hoodie nimbus schlupfjacke,Carhartt,52.0,3,9,4.9,1789,Verkaufe hier eine sehr gut erhaltene Jacke,https://www.vinted.fr/items/5971993408-carhartt-vintage-jacke-windbreaker-windstopper-ubergangsjacke-regenjacke-hoodie-nimbus-schlupfjacke,manteaux
Carhartt Parker,Carhartt,80.0,4,0,5,15,Ein dunkelblauer Herren-Parker von Carhartt. Futter der Kapuze ist abnehmbar.,https://www.vinted.fr/items/5061070563-carhartt-parker,manteaux
Carhartt Mantel Jacke,Carhartt,39.0,3,16,5,89,"Carhartt Mantel Parka in dunkelblau 

👕ZUSTAND: leicht abgetragen aber keine Mängel 8,5/10

Größe: M

💸per paypal, überweisung oder übers system
bei fragen gerne melden:)",https://www.vinted.fr/items/5962069881-carhartt-mantel-jacke,manteaux
Carhartt - Clash Parka - schwarz - M,Carhartt,10.0,Satisfactory,17,5,15,"Gern getragener Carhartt Clash Parka mit Gerbrauchsspuren (siehe Bilder) mit Steppfutter. Alle Ressverschlüsse und Knöpfe in Takt. Rückenteil Fishbone kann hochgenöpft werden. 
Innentasche vorhanden.",https://www.vinted.fr/items/5192275171-carhartt-clash-parka-schwarz-m,manteaux
Regenjacke mit Kapuze Carhartt,Carhartt,17.0,4,13,4.8,21,"Regenjacke mit Kapuze. Die Strippe dazu fehlt leider (siehe Foto). 

Ansonsten einwandfreier Artikel.",https://www.vinted.fr/items/5766071611-regenjacke-mit-kapuze-carhartt,manteaux
Carhartt burgundy parka,Carhartt,17.0,3,8,4.8,46,Sold as in the pictures.,https://www.vinted.fr/items/5905651005-carhartt-burgundy-parka,manteaux
Carharrt Regenjacke,Carhartt,15.0,3,6,5,5,"Carharrt Regenjacke 
Größe XS",https://www.vinted.fr/items/5884991840-carharrt-regenjacke,manteaux
W‘Kipnuk Jacket,Carhartt,14.0,4,8,4.9,35,"schwarze Übergangsjacke gefüttert, mit Reisverschluss und zusätzlichen Druckknöpfen, mit einem kleinen Riss am rechten Ärmel",https://www.vinted.fr/items/5788017455-wkipnuk-jacket,manteaux
Carhartt Jacke,Carhartt,35.0,3,13,No rating,No evaluations,"Übergangsjacke

Kein Verkauf über Vinted",https://www.vinted.fr/items/5933543537-carhartt-jacke,manteaux
Herrenparka Carhartt in xxl,Carhartt,60.0,3,8,5,134,"Modell Clash Parka
Gefüttert",https://www.vinted.fr/items/5961755402-herrenparka-carhartt-in-xxl,manteaux
Brown Carhartt Jacket S size,Carhartt,15.0,4,1,5,3,Regular Fit,https://www.vinted.fr/items/5973820154-brown-carhartt-jacket-s-size,manteaux
