Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type
Pantalon corto The North Face,The North Face,12.0,2,7,4.7,31,"Como nuevo 
Valor en tienda 60€",https://www.vinted.fr/items/6041178595-pantalon-corto-the-north-face,shorts
Short,The North Face,10.0,3,5,1,1,"Bei Interesse gerne anschreiben. Ich verkaufe nicht über das Vinted System.
Gerne per PayPal oder Bankverbindung.",https://www.vinted.fr/items/5349073558-short,shorts
The North Face - Wandershorts Herren 34,The North Face,35.0,3,17,5,363,"Marke: The North Face
Produkt: Herren Shorts zum Wandern
Produktnummer: NF0A883Q
Farbe: schwarz
Größe: 34
Material: Nylon / Elastan
Besonderheit: Taschen mit Reißverschluss
Packbar: ja
Bundweite: 40 cm
Beinlänge: 48 cm

#thenorthface #tnf #shorts #hiking #nature #outdoor #packable #pockets #zipper",https://www.vinted.fr/items/5982784751-the-north-face-wandershorts-herren-34,shorts
The North Face Shorts,The North Face,17.0,2,57,1,1,No description,https://www.vinted.fr/items/4709061002-the-north-face-shorts,shorts
Short the north face,The North Face,10.0,3,4,4.2,21,"Aucun défaut taille correctement ✅
N’hésitez pas à me poser des questions pour + d’informations",https://www.vinted.fr/items/6042078025-short-the-north-face,shorts
The North Face Limitless Short Herren M cave blue,The North Face,20.0,3,13,5,4,Sehr guter Zustand,https://www.vinted.fr/items/5352776753-the-north-face-limitless-short-herren-m-cave-blue,shorts
besche The North Face Shorts,The North Face,15.0,3,3,5,14,"- ungetragen

Bitte nicht über das System kaufen, nur Paypal oder Überweisung",https://www.vinted.fr/items/4978819412-besche-the-north-face-shorts,shorts
The North Face kurze Wanderhose ,The North Face,20.0,3,48,4.9,18,"Die Hose wurde sehr selten getragen
Größe  fällt minimal kleiner aus 
Mit Taschen an den Seiten",https://www.vinted.fr/items/1929425134-the-north-face-kurze-wanderhose,shorts
The north face shorts,The North Face,30.0,2,31,4.3,3,No description,https://www.vinted.fr/items/3466375143-the-north-face-shorts,shorts
The North Face Shorts,The North Face,20.0,3,8,No rating,No evaluations,"Keine Mängel, top Zustand.",https://www.vinted.fr/items/5529657074-the-north-face-shorts,shorts
weiß türkise tnf shorts,The North Face,20.0,3,8,4.3,11,No description,https://www.vinted.fr/items/3390511250-weiss-turkise-tnf-shorts,shorts
The North Face Shorts,The North Face,35.0,1,37,No rating,No evaluations,No description,https://www.vinted.fr/items/1382736970-the-north-face-shorts,shorts
Short de sport léger,The North Face,18.0,3,5,5,200,No description,https://www.vinted.fr/items/5936458200-short-de-sport-leger,shorts
The North Face kurze Hose,The North Face,20.0,4,8,5,580,No description,https://www.vinted.fr/items/3392718665-the-north-face-kurze-hose,shorts
Short The North Face XL,The North Face,10.0,3,2,5,455,No description,https://www.vinted.fr/items/5746867367-short-the-north-face-xl,shorts
Short de randonnée  the normalement face,The North Face,20.0,1,5,4.8,90,No description,https://www.vinted.fr/items/6042802536-short-de-randonnee-the-normalement-face,shorts
Wanderhose,The North Face,15.0,3,2,5,223,No description,https://www.vinted.fr/items/4830448522-wanderhose,shorts
The North Face Shorts grau neu mit Etikett S,The North Face,25.0,1,1,4.7,45,No description,https://www.vinted.fr/items/5975462269-the-north-face-shorts-grau-neu-mit-etikett-s,shorts
The North Face Laufhose,The North Face,20.0,2,5,4,4,"Super tolle Hose. Immer wieder zufrieden mit den Hosen, leider die Blaue kaum getragen",https://www.vinted.fr/items/5332195725-the-north-face-laufhose,shorts
Short The North Face M,The North Face,15.0,3,2,4.9,10,"Verkaufe diese Sporthose von The North Face welche auch zum Schwimmen benutzt werden kann. Es gibt 2 Taschen und ein Innennetz. Eine Hintertasche mit Reißverschluss.
Farbe: azurblau
Größe: M

Rabatt bei weiteren Einkäufen. Versand zahlt der Käufer. Versand als BüWa möglich.",https://www.vinted.fr/items/5958469681-short-the-north-face-m,shorts
The north face short,The North Face,11.0,2,7,No rating,No evaluations,"Nooit gedragen, Maat L

Dit product is gewassen.
Word verzonden binnen de 48h",https://www.vinted.fr/items/6021606784-the-north-face-short,shorts
The North Face Shorts L / XL NEU,The North Face,30.0,2,23,3.3,26,No description,https://www.vinted.fr/items/802265239-the-north-face-shorts-l-xl-neu,shorts
"kurze Hose für Männer von North Face, Gr. S",The North Face,25.0,3,21,1,2,No description,https://www.vinted.fr/items/2069104310-kurze-hose-fur-manner-von-north-face-gr-s,shorts
North Face Zip Off Hose ,The North Face,60.0,3,11,5,1,No description,https://www.vinted.fr/items/1681118442-north-face-zip-off-hose,shorts
North face shorts in schwarz türkis,The North Face,50.0,2,6,No rating,No evaluations,No description,https://www.vinted.fr/items/2832849275-north-face-shorts-in-schwarz-turkis,shorts
The North Face x Undercover - Short unisex,The North Face,90.0,3,6,5,363,No description,https://www.vinted.fr/items/5982960518-the-north-face-x-undercover-short-unisex,shorts
TNF Black Series Spectra Shorts,The North Face,75.0,1,15,5,8,No description,https://www.vinted.fr/items/2082697994-tnf-black-series-spectra-shorts,shorts
Schwarze the north face Hose,The North Face,20.0,3,2,5,4,No description,https://www.vinted.fr/items/4422590732-schwarze-the-north-face-hose,shorts
Short rando,The North Face,10.0,3,1,4.5,17,très peu porté,https://www.vinted.fr/items/6041913899-short-rando,shorts
Sportshorts von The North Face,The North Face,25.0,2,2,5,134,No description,https://www.vinted.fr/items/5409612193-sportshorts-von-the-north-face,shorts
Short the north face,The North Face,20.0,2,3,4.9,474,No description,https://www.vinted.fr/items/6038868108-short-the-north-face,shorts
Short The North Face,The North Face,25.0,1,30,4.9,327,"Short the north face
Short training, running
Taille M
Couleur noir
Avec étiquette",https://www.vinted.fr/items/6033745379-short-the-north-face,shorts
Shorts - The North Face - Schwarz - 36 | XL,The North Face,20.0,3,2,5,165,No description,https://www.vinted.fr/items/5540499292-shorts-the-north-face-schwarz-36-xl,shorts
Pantalon corto The north face,The North Face,15.0,3,10,4.6,10,No description,https://www.vinted.fr/items/6032325044-pantalon-corto-the-north-face,shorts
The North Face Shorts in M,The North Face,36.0,2,4,4.9,78,No description,https://www.vinted.fr/items/4762990869-the-north-face-shorts-in-m,shorts
Short,The North Face,12.0,3,0,4.9,89,No description,https://www.vinted.fr/items/6042956286-short,shorts
The North Face Shorts,The North Face,20.0,3,1,5,1,No description,https://www.vinted.fr/items/5522208251-the-north-face-shorts,shorts
North Face Shorts fleece,The North Face,25.0,2,0,4.8,54,No description,https://www.vinted.fr/items/5695787316-north-face-shorts-fleece,shorts
Pantaloni tecnici The North Face,The North Face,9.0,3,7,5,4,No description,https://www.vinted.fr/items/6028109671-pantaloni-tecnici-the-north-face,shorts
The North Face Shorts,The North Face,20.0,3,4,5,4,No description,https://www.vinted.fr/items/6037192353-the-north-face-shorts,shorts
The North Face Wandershorts Herren US 32,The North Face,12.0,Satisfactory,1,5,629,No description,https://www.vinted.fr/items/5438586458-the-north-face-wandershorts-herren-us-32,shorts
The north face zwembroek,The North Face,10.0,3,4,4.5,34,"The north face zwembroek met broekzakken
Maat M

Bekijk ook mijn andere items op vinted",https://www.vinted.fr/items/6030181616-the-north-face-zwembroek,shorts
The North Face Shorts - Gr. S - Trekking -,The North Face,19.0,3,1,4.8,66,No description,https://www.vinted.fr/items/5807857721-the-north-face-shorts-gr-s-trekking,shorts
Short the north face Taille M,The North Face,18.0,3,0,4.6,38,"Très bon état
Quasi pas porté",https://www.vinted.fr/items/6042145007-short-the-north-face-taille-m,shorts
The north face - korte broek short zomer summer,The North Face,23.0,2,15,4.7,333,"NIEUW, broek is echt! 

Ik verkoop de broek het liefst aan iemand binnen Nederland/België 🇳🇱🇧🇪",https://www.vinted.fr/items/6025781139-the-north-face-korte-broek-short-zomer-summer,shorts
Schwarze The North Face Shorts,The North Face,34.0,3,5,5,51,No description,https://www.vinted.fr/items/3251166574-schwarze-the-north-face-shorts,shorts
Kurze Sporthose,The North Face,25.0,3,0,5,277,No description,https://www.vinted.fr/items/5386060949-kurze-sporthose,shorts
Pantalones cortos The North Face nuevos con etiqueta,The North Face,24.0,1,12,5,78,"Pantalones cortos / shorts The North Face nuevos a estrenar.
Talla S. 100% originales.",https://www.vinted.fr/items/6030827119-pantalones-cortos-the-north-face-nuevos-con-etiqueta,shorts
The North Face Männer kurze Hose / Shorts in weiß S,The North Face,35.0,3,0,5,198,No description,https://www.vinted.fr/items/5250491933-the-north-face-manner-kurze-hose-shorts-in-weiss-s,shorts
Blaue Glacier TheNorthFace Shorts Größe M,The North Face,35.0,3,1,4.9,16,No description,https://www.vinted.fr/items/5606973390-blaue-glacier-thenorthface-shorts-grosse-m,shorts
Pantalón corto The North Face,The North Face,35.0,1,3,5,67,"-Pantalón corto trail running o senderismo marca The North Face.
-Nuevo a estrenar.
-Muy cómodo, con cordón ajustable.
-Dos bolsillos laterales con cremallera.
-Talla L.",https://www.vinted.fr/items/6039274026-pantalon-corto-the-north-face,shorts
Short the North face,The North Face,17.0,3,3,4.8,200,Short the North face parfaite état,https://www.vinted.fr/items/6034289302-short-the-north-face,shorts
Shorts the north face,The North Face,28.0,1,11,4.9,476,The north face Nuevo original shorts,https://www.vinted.fr/items/6028894622-shorts-the-north-face,shorts
"The North Face Hydrenalite Short, M",The North Face,30.0,3,11,4.5,19,"The North Face Hydrenalite Short, M",https://www.vinted.fr/items/6033085270-the-north-face-hydrenalite-short-m,shorts
The North Face Schwarze Shorts,The North Face,30.0,2,4,5,17,"M, nur ein paar Mal setzen",https://www.vinted.fr/items/6036267902-the-north-face-schwarze-shorts,shorts
Short the North face,The North Face,5.0,4,4,5,201,"Bon état
Longueur 55",https://www.vinted.fr/items/6020853983-short-the-north-face,shorts
Calzamaglia Northface,The North Face,12.0,3,5,5,114,No description,https://www.vinted.fr/items/6024474373-calzamaglia-northface,shorts
The North Face Herren Jogginghose Kurz Gr M,The North Face,40.0,2,1,4.8,24,No description,https://www.vinted.fr/items/5105074954-the-north-face-herren-jogginghose-kurz-gr-m,shorts
Short the north face,The North Face,30.0,2,3,4.8,73,No description,https://www.vinted.fr/items/6036257182-short-the-north-face,shorts
The northface hydrenalin shorts nylon rare,The North Face,45.0,2,4,5,226,No description,https://www.vinted.fr/items/5833008930-the-northface-hydrenalin-shorts-nylon-rare,shorts
The Noth Face Shorts,The North Face,45.0,3,1,4.9,29,"Neu, selten getragen, hat aber vorne und hinten Flecken sind aber entfernbar",https://www.vinted.fr/items/5020076997-the-noth-face-shorts,shorts
Pantaloncino the north face,The North Face,5.0,4,19,5,5,Pantaloncino ancora in buone condizione con segni di usura sul retro della gamba destra,https://www.vinted.fr/items/6010331926-pantaloncino-the-north-face,shorts
Short the north face,The North Face,15.0,2,4,5,2,Short the north face porte 1 fois car taille petit,https://www.vinted.fr/items/6012874572-short-the-north-face,shorts
Shorts the north face,The North Face,29.0,1,7,4.9,476,The north face Nuevo original shorts,https://www.vinted.fr/items/6028938118-shorts-the-north-face,shorts
Merino Shorts schwarz North Face & Icebreaker,The North Face,70.0,1,2,5,9,No description,https://www.vinted.fr/items/5048524196-merino-shorts-schwarz-north-face-icebreaker,shorts
Short the North face,The North Face,8.0,4,8,5,5,En bonne état  short enfant 10 ans,https://www.vinted.fr/items/6014224806-short-the-north-face,shorts
Short The North Face,The North Face,10.0,3,5,5,7,"Short The North Face

Très bon état Taille M",https://www.vinted.fr/items/6023698436-short-the-north-face,shorts
Short the north face,The North Face,40.0,1,8,4.9,436,No description,https://www.vinted.fr/items/6017901908-short-the-north-face,shorts
The North Face Shorts Size M New With Tags,The North Face,25.0,1,10,5,16,No description,https://www.vinted.fr/items/6026999922-the-north-face-shorts-size-m-new-with-tags,shorts
The North Face Badehose,The North Face,65.0,2,0,5,18,"Im MRQT in Stuttgart gekauft.
1mal getragen.
Originalpreis war 70€
Keine Gebrauchsspuren.",https://www.vinted.fr/items/2259426284-the-north-face-badehose,shorts
North face Pantalón corto Limestone para hombre,The North Face,55.0,1,0,5,267,"Pantalón corto Limestone para hombre
Nuovo sin usar Authentic
Talla XXL hombre 
Waist 50cm long 52cm
No defectos 
#northface #northfacexxl #northfacepantaloncorto #northfaceshorts #shortsxxl",https://www.vinted.fr/items/6038777499-north-face-pantalon-corto-limestone-para-hombre,shorts
Shorts The north face taglia M,The North Face,30.0,1,4,5,332,No description,https://www.vinted.fr/items/6027472870-shorts-the-north-face-taglia-m,shorts
The North Face Speedlight Wandershorts Herren,The North Face,35.0,3,1,5,629,No description,https://www.vinted.fr/items/5438495064-the-north-face-speedlight-wandershorts-herren,shorts
Short the north face polaire,The North Face,15.0,3,2,4.9,77,"Short the north face polaire noir ⚫️
Il manque le lacet pour serrer mais pas du tout nécessaire 
Taille:m
Envoie rapide et soigner 
Pour plus d’info contactez moi",https://www.vinted.fr/items/6031133010-short-the-north-face-polaire,shorts
