Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
The North Face Mütze unisex grau,The North Face,15.0,3,3,5,3,"Ich verkaufe meine Mütze (unisex). Ich habe die Mütze kaum getragen, daher ist sie in einem sehr guten Zustand. Außerdem hat sie keine Löcher oder Flecken es ist eine Einheitsgröße. 

Keine Rückgabe oder Garantie möglich.

Bei Interesse gerne anschreiben :)",https://www.vinted.fr/items/5974983747-the-north-face-mutze-unisex-grau
The North Face Mütze,The North Face,15.0,3,14,4.6,57,"Hier selbst gekauft, leider ist sie etwas zu groß",https://www.vinted.fr/items/4945336388-the-north-face-mutze
Beanie,The North Face,10.0,3,6,4.9,70,"Beanie The North Face 

One sitze",https://www.vinted.fr/items/4431723262-beanie
The North Face Beanie,The North Face,12.0,3,7,5,17,"- The north Face Beanie 
- sehr guter Zustand 
- wenig getragen 
-einheitsgröße",https://www.vinted.fr/items/5717794510-the-north-face-beanie
Mütze The North Face,The North Face,15.0,3,15,5,3,"Nur 2x getragen, da doch etwas zu groß für die eigene Kopfform.",https://www.vinted.fr/items/5075301724-mutze-the-north-face
The north Face Mütze,The North Face,15.0,3,9,4.7,34,Nur einmal getragen original in sehr gutem Zustand. Privatverkauf Perfekt für den Winter.,https://www.vinted.fr/items/4967061059-the-north-face-mutze
North Face Mütze,The North Face,15.0,4,3,No rating,No evaluations,Etwas getragen aber noch guter Zustand,https://www.vinted.fr/items/5928412168-north-face-mutze
North Face Mütze,The North Face,15.0,2,4,4.6,21,Nie getragen,https://www.vinted.fr/items/5910829234-north-face-mutze
North Face Mütze,The North Face,7.0,2,3,5,33,"Unisex, sehr hochwertige Mütze, kaum getragen, robustes Material",https://www.vinted.fr/items/5580694003-north-face-mutze
"The North face Beanie , leicht gefüttert",The North Face,15.0,3,12,4.8,70,"Einmal getragen, ist mir leider etwas klein. Laut Etikett one size fits all, würde sagen passt bis maximal Hutgröße 58.",https://www.vinted.fr/items/5617335192-the-north-face-beanie-leicht-gefuttert
The North Face Mütze,The North Face,12.0,3,3,5,79,"Gerne via Paypal

Etikett abgeschnitten beim Kauf, wegen Störfaktor am Kopf 🏷️",https://www.vinted.fr/items/5913223552-the-north-face-mutze
The North Face Mütze,The North Face,9.0,3,4,5,1862,"!! Kein Systemkauf !!!

Sehr guter getragener Zustand, minimales Pilling! Hat mein Sohn von 2-4 getragen!

Keine Garantie und Rücknahme!",https://www.vinted.fr/items/5713517742-the-north-face-mutze
"The North Face Mütze Senfgelb, wie neu",The North Face,15.0,3,10,4.7,7,"Verkaufe eine North Face Mütze unisex in Senfgelb 
Rauch und Tierfreier Haushalt 
Privatverkauf keine Rücknahme 

Bezahlung über Vinted mit Käuferschutz",https://www.vinted.fr/items/5787732292-the-north-face-mutze-senfgelb-wie-neu
Mütze Beanie The North Face,The North Face,15.0,3,6,5,105,Selten getragene Mütze von The North Face,https://www.vinted.fr/items/5727194116-mutze-beanie-the-north-face
The North Face Mütze,The North Face,15.0,3,7,4,4,Die Mütze wurde nicht oft getragen und ist in einem relativ guten Zustand,https://www.vinted.fr/items/5755417149-the-north-face-mutze
The north Face Beanie,The North Face,18.0,1,26,4.5,26,Ungetragen,https://www.vinted.fr/items/5457895964-the-north-face-beanie
Mütze The North Face,The North Face,12.0,4,3,5,5,Fällt sehr klein aus.,https://www.vinted.fr/items/5610848099-mutze-the-north-face
The North Face Mütze Orange,The North Face,16.0,4,18,5,11,"The North Face hat in Orange
Perfect for the coming winter
Condition is good 7/10
Let me know if you have any questions",https://www.vinted.fr/items/5440536994-the-north-face-mutze-orange
The North Face Mütze,The North Face,12.0,1,3,5,3,"Selten getragen 
wie neu 
gefällt mir nicht mehr so :/

Bei Interesse gerne melden 🥰",https://www.vinted.fr/items/5837170701-the-north-face-mutze
Herren The North Face Winter Mütze,The North Face,15.0,4,4,3.5,11,Winter Mütze Top Zustand sehr wenig getragen,https://www.vinted.fr/items/5177804188-herren-the-north-face-winter-mutze
Braune Northface Beanie,The North Face,15.0,2,3,5,27,"Kaum getragen, hält super warm",https://www.vinted.fr/items/5841644105-braune-northface-beanie
Gorro The North Face,The North Face,9.95,3,4,4.8,39,"Nuevo a estrenar
Talla única",https://www.vinted.fr/items/6035471004-gorro-the-north-face
The North Face Mütze,The North Face,15.0,2,4,3.8,4,Ich verkaufe meine North Face Mütze in der Farbe Schwarz,https://www.vinted.fr/items/5636497663-the-north-face-mutze
The North Face Mütze,The North Face,17.0,3,2,4.8,17,"North Face Mütze in der Farbe braun mit einem Bömmel
1x getragen",https://www.vinted.fr/items/5956311467-the-north-face-mutze
The North Face Mütze,The North Face,15.0,3,3,5,854,"Top Zustand 



#northsportugiese19",https://www.vinted.fr/items/5724093944-the-north-face-mutze
The North Face Mütze Beanie,The North Face,16.0,2,2,4.9,66,"Selten getragen, wie neu",https://www.vinted.fr/items/5609401034-the-north-face-mutze-beanie
Bonnet noir,The North Face,9.99,1,19,5,6,"Neuf avec étiquette 🏷
Taille unique,
Envoie rapide.",https://www.vinted.fr/items/6032153839-bonnet-noir
cappello/ berretto the north face,The North Face,13.0,1,4,5,5,"cappello/berretto
 the north face
in lana
colore grigio",https://www.vinted.fr/items/6036370226-cappello-berretto-the-north-face
The North Face Mütze,The North Face,18.0,3,24,5,95,"Ist wie neu:)
NP waren 40€
Einheitsgrösse & unisex",https://www.vinted.fr/items/5468392503-the-north-face-mutze
The North Face Mütze,The North Face,22.0,Satisfactory,19,5,18,Eine The North Face Mütze,https://www.vinted.fr/items/4536780101-the-north-face-mutze
The North Face Mütze grün,The North Face,25.0,1,26,5,8,"Mütze in Einheitsgröße
Privater Verkauf ohne Rücknahme.",https://www.vinted.fr/items/5248971523-the-north-face-mutze-grun
Bonnet blanc,The North Face,9.99,1,13,5,6,"Neuf avec étiquette 🏷 
Envoie rapide ,taille unique.",https://www.vinted.fr/items/6031918379-bonnet-blanc
North Face Mütze,The North Face,8.0,3,2,4.4,15,Graue North Face Mütze mit Bommel,https://www.vinted.fr/items/5777813560-north-face-mutze
Warme Wollmütze North Face,The North Face,20.0,4,1,5,3,Ich verkaufe diese super warme Mütze von North Face (Einheitsgröß),https://www.vinted.fr/items/5971761981-warme-wollmutze-north-face
Gorro the North face NUEVO,The North Face,15.0,1,4,4.6,357,"Perfecto estado
Precioso
Nuevo",https://www.vinted.fr/items/6035035439-gorro-the-north-face-nuevo
North Face Wintermütze Onesize,The North Face,20.0,3,9,5,50,"Verkaufe 2 Mützen von north face, keine Mängel, unisex

Stückpreis 20,.


1× Lila",https://www.vinted.fr/items/5553788689-north-face-wintermutze-onesize
Berretto North Face,The North Face,10.0,2,11,4.9,152,Indossato una volta,https://www.vinted.fr/items/6024479258-berretto-north-face
Bonnet noir hiver,The North Face,9.99,1,11,No rating,No evaluations,"Neuf avec étiquette 🏷, Envoie rapide ,taille unique, j'expédie dans de très bon emballages d'envoie.",https://www.vinted.fr/items/6031744402-bonnet-noir-hiver
Mütze Winter The North Face,The North Face,9.0,3,2,5,135,"Super Zustand. 
UNISEX - Einheitsgröße
Versand im Briefumschlag günstig möglich. ❄️",https://www.vinted.fr/items/5835316827-mutze-winter-the-north-face
North Face Mütze,The North Face,25.0,1,10,5,8,Ungetragen mit Original Etikett,https://www.vinted.fr/items/5220410359-north-face-mutze
Bonnet beige hiver,The North Face,9.99,1,10,No rating,No evaluations,"Neuf avec étiquette 🏷, Envoie rapide, taille unique, j'expédie dans de très bon emballages d'envoie !",https://www.vinted.fr/items/6031791678-bonnet-beige-hiver
The North Face Mütze,The North Face,15.0,3,3,5,1,"• kein „fester“ Stoff eher locker 
• kaum getragen lag lange im Schrank 
• wird noch einmal gewaschen 
• unisex",https://www.vinted.fr/items/5139344635-the-north-face-mutze
Bonne TNF,The North Face,12.0,3,3,5,53,Excellent état !,https://www.vinted.fr/items/6034302928-bonne-tnf
Mütze Winter The North Face,The North Face,9.0,3,2,5,135,"Super Zustand. 
UNISEX - Einheitsgröße
Versand im Briefumschlag günstig möglich. ❄️",https://www.vinted.fr/items/5835316827-mutze-winter-the-north-face
Bonnet bleu marine hiver,The North Face,9.99,1,4,No rating,No evaluations,"Neuf avec étiquette 🏷, Envoie rapide ,taille unique, j'expédie dans de très bon emballages d'envoie.",https://www.vinted.fr/items/6031753331-bonnet-bleu-marine-hiver
North Face Mütze,The North Face,25.0,1,10,5,8,Ungetragen mit Original Etikett,https://www.vinted.fr/items/5220410359-north-face-mutze
Bonnet gris clair,The North Face,9.99,1,4,5,6,"Neuf avec étiquette 🏷
Taille unique,
Envoie rapide.",https://www.vinted.fr/items/6032100798-bonnet-gris-clair
The North Face Mütze,The North Face,15.0,3,3,5,1,"• kein „fester“ Stoff eher locker 
• kaum getragen lag lange im Schrank 
• wird noch einmal gewaschen 
• unisex",https://www.vinted.fr/items/5139344635-the-north-face-mutze
Bonnet gris foncé,The North Face,9.99,1,4,No rating,No evaluations,"Neuf avec étiquette 🏷 
Envoie rapide, taille unique, j'expédie dans de très bon emballages d'envoie !",https://www.vinted.fr/items/6031525181-bonnet-gris-fonce
