Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type
Casquette carhartt x nike,Carhartt,119.0,1,10,4.9,209,"Article neuf avec étiquette 😎
100% authentique",https://www.vinted.fr/items/5042461651-casquette-carhartt-x-nike,casquettes
Casquette en cuire carhart,Carhartt,120.0,1,9,4.9,294,"Vend casquette en cuire neuf, jamais portée, couleur noir, de la marque Carhartt, taille 7 1/4, soit 57,7 cm",https://www.vinted.fr/items/4124088270-casquette-en-cuire-carhart,casquettes
Casquette apc x carhartt ,Carhartt,130.0,3,18,4.7,82,"A.P.C. CARHARTT WIP 
Taille 54
Apc aimé leon dore
Collab collaboration limited",https://www.vinted.fr/items/3945203994-casquette-apc-x-carhartt,casquettes
Carhartt Wip cap rare reflective reflect catalinfrangente,Carhartt,150.0,3,17,5,108,"Cappello catalinfrangente tenuto benissimo (archivio)

(Collezione personale) 
Introvabile 

Spedizione veloce 🚚 

#vintedspain #retro #preloved #clothes #vintageshop #vintedbelgique #vintedpoland #tweedehands #lookoftheday #vintagefashion #follow #love #france #sustainablefashion #shoppingonline #segundamano #handmade #reseller #poshmarkseller #outfitoftheday #outfitinspiration #depopseller #vintedteam #thrift #sfashion #lookdujour #ebayseller #paris #like #vintageoutfit #carhartt",https://www.vinted.fr/items/3683925160-carhartt-wip-cap-rare-reflective-reflect-catalinfrangente,casquettes
Casquette US carhartt rouge série limitée neuve ,Carhartt,120.0,1,1,5,3,"Casquette import US voyage, neuve",https://www.vinted.fr/items/4010213600-casquette-us-carhartt-rouge-serie-limitee-neuve,casquettes
Casquette - Karhartt - Carhartt x L'art de l'automobile,Carhartt,165.0,2,8,4.9,1673,"Casquette - Karhartt - Carhartt x L'art de l'automobile : 

- État : Neuve sans étiquette (jamais portée) 

- Coloris : Treehouse

- Dernière vente stock X : 384€ 

- Offres et personnes non sérieuses s’abstenir 

- Envoi soigné dans un carton avec blister de protection 

#lartdelautomobile #carhartt #karhartt",https://www.vinted.fr/items/5565745508-casquette-karhartt-carhartt-x-lart-de-lautomobile,casquettes
Casquette carhartt,Carhartt,400.0,4,9,4.2,16,Casquette carhartt feuille bleue,https://www.vinted.fr/items/253770669-casquette-carhartt,casquettes
Braindead x Carhartt Caps Bundle,Carhartt,350.0,3,4,4.9,185,"Bundle of 6 Carhartt Caps 
Multi colours - pink, light grey, white, brown, periwinkle, and dark grey 
Sold individually on my profile",https://www.vinted.fr/items/5396809424-braindead-x-carhartt-caps-bundle,casquettes
Blaue carhartt cap,Carhartt,10.0,4,17,5,2,Ein wenig getragen mir einem Fleck aber sonst gut,https://www.vinted.fr/items/6025950689-blaue-carhartt-cap,casquettes
Carhartt Cap,Carhartt,15.0,3,22,5,3,Genutzt aber in guten Zustand,https://www.vinted.fr/items/6026608275-carhartt-cap,casquettes
