Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
Carhartt Mütze original verpackt,Carhartt,13.0,1,4,5,131,No description,https://www.vinted.fr/items/5918646613-carhartt-mutze-original-verpackt
Carhartt WIP Beanie,Carhartt,8.0,3,3,5,14,No description,https://www.vinted.fr/items/5919442668-carhartt-wip-beanie
Carhartt Chase Beanie schwarz,Carhartt,15.0,3,4,4.9,180,No description,https://www.vinted.fr/items/5919597964-carhartt-chase-beanie-schwarz
Carhartt Mütze,Carhartt,5.0,2,10,4.8,20,No description,https://www.vinted.fr/items/5880519112-carhartt-mutze
Carhartt WIP - Acrylic Watch Dark Navy Heather - Beanie,Carhartt,17.0,1,0,5,340,No description,https://www.vinted.fr/items/5938568923-carhartt-wip-acrylic-watch-dark-navy-heather-beanie
Carhartt Mütze original,Carhartt,10.0,3,4,5,68,No description,https://www.vinted.fr/items/5911914060-carhartt-mutze-original
Bonnet carhart,Carhartt,5.0,2,0,4.5,82,No description,https://www.vinted.fr/items/5961573981-bonnet-carhart
Bonnet carhartt noir,Carhartt,12.5,1,22,No rating,No evaluations,No description,https://www.vinted.fr/items/5946590367-bonnet-carhartt-noir
Bonnet Carhartt,Carhartt,12.0,2,11,No rating,No evaluations,No description,https://www.vinted.fr/items/5949828941-bonnet-carhartt
Bonnet Carhartt Marron,Carhartt,7.0,3,1,No rating,No evaluations,No description,https://www.vinted.fr/items/5960072532-bonnet-carhartt-marron
Carhartt blue hat,Carhartt,10.0,3,0,No rating,No evaluations,No description,https://www.vinted.fr/items/5965491593-carhartt-blue-hat
Carhartt Mütze Wollmütze Beanie Unisex,Carhartt,12.0,3,8,No rating,No evaluations,No description,https://www.vinted.fr/items/5953942052-carhartt-mutze-wollmutze-beanie-unisex
Carhartt berretto verde,Carhartt,13.99,2,3,No rating,No evaluations,No description,https://www.vinted.fr/items/5959774860-carhartt-berretto-verde
Carhartt Mütze blau,Carhartt,10.0,3,6,No rating,No evaluations,No description,https://www.vinted.fr/items/5954806032-carhartt-mutze-blau
Bonnet Carhartt noir,Carhartt,11.5,2,0,No rating,No evaluations,No description,https://www.vinted.fr/items/5964501911-bonnet-carhartt-noir
Carhartt custom cat beanie,Carhartt,5.25,3,0,No rating,No evaluations,No description,https://www.vinted.fr/items/5964298091-carhartt-custom-cat-beanie
Schöne Mütze,Carhartt,10.0,3,0,No rating,No evaluations,No description,https://www.vinted.fr/items/5964755190-schone-mutze
Bonnet Carhartt Bleu Marine,Carhartt,5.0,4,6,No rating,No evaluations,No description,https://www.vinted.fr/items/5950603808-bonnet-carhartt-bleu-marine
Bonnet carhartt noir,Carhartt,12.0,2,0,No rating,No evaluations,No description,https://www.vinted.fr/items/5964226348-bonnet-carhartt-noir
Bonnet carhart,Carhartt,15.99,2,4,No rating,No evaluations,No description,https://www.vinted.fr/items/5958599658-bonnet-carhart
Gorro Carhartt,Carhartt,14.99,1,3,No rating,No evaluations,No description,https://www.vinted.fr/items/5959387328-gorro-carhartt
Lot bonnet carhartt,Carhartt,12.0,3,1,No rating,No evaluations,No description,https://www.vinted.fr/items/5962983751-lot-bonnet-carhartt
Bonnet beanie carhartt noir unisex,Carhartt,13.0,1,5,No rating,No evaluations,No description,https://www.vinted.fr/items/5951913118-bonnet-beanie-carhartt-noir-unisex
Gorro marrón carhartt,Carhartt,12.0,2,8,No rating,No evaluations,No description,https://www.vinted.fr/items/5953749348-gorro-marron-carhartt
berretta nera,Carhartt,9.0,3,0,No rating,No evaluations,No description,https://www.vinted.fr/items/5963692037-berretta-nera
Bonnet,Carhartt,6.0,3,35,No rating,No evaluations,No description,https://www.vinted.fr/items/5942812049-bonnet
Berretta Carhartt,Carhartt,9.5,3,3,No rating,No evaluations,No description,https://www.vinted.fr/items/5957715723-berretta-carhartt
Bonnet unisexe Carhartt Bordeaux - TU - En bon état !,Carhartt,4.0,4,6,No rating,No evaluations,No description,https://www.vinted.fr/items/5956841553-bonnet-unisexe-carhartt-bordeaux-tu-en-bon-etat
