Title,Brand,Type,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,URL
Gorra Nike negra,Nike,5.0,3,8,4.9,137,https://www.vinted.fr/items/6054107351-gorra-nike-negra
Nike kappe neu,Nike,10.0,1,9,4.5,68,https://www.vinted.fr/items/6031452120-nike-kappe-neu
Nike FC Cap,Nike,30.0,2,0,5,4,https://www.vinted.fr/items/6053483568-nike-fc-cap
Nike pet,Nike,7.0,3,13,4.9,10,https://www.vinted.fr/items/6051561707-nike-pet
Nike Cap,Nike,14.0,4,0,4.2,5,https://www.vinted.fr/items/6047272735-nike-cap
Nike beige pet,Nike,5.0,3,5,4.3,24,https://www.vinted.fr/items/6054400872-nike-beige-pet
Nike Käppi,Nike,10.0,3,3,4.8,29,https://www.vinted.fr/items/6035094724-nike-kappi
Casquette blanche Nike,Nike,3.0,4,6,4.6,327,https://www.vinted.fr/items/6051746622-casquette-blanche-nike
Gorra Nike,Nike,8.0,2,7,3.8,27,https://www.vinted.fr/items/6054049184-gorra-nike
Nike Mütze,Nike,7.0,3,3,5,52,https://www.vinted.fr/items/6033664802-nike-mutze
Casquette,Nike,1.0,4,13,4.7,161,https://www.vinted.fr/items/6053826097-casquette
"Nike Club Cap, Größe S/M",Nike,10.0,2,1,5,5,https://www.vinted.fr/items/6044765149-nike-club-cap-grosse-sm
"Gorra Nike golf,apenas uso",Nike,6.0,3,8,4.9,287,https://www.vinted.fr/items/6051951266-gorra-nike-golfapenas-uso
Schwarze Nike Cap,Nike,19.0,2,0,5,4,https://www.vinted.fr/items/6048321412-schwarze-nike-cap
Nike Pro Fit Cap | Schwarz | Unisex,Nike,20.0,2,0,5,20,https://www.vinted.fr/items/6048433763-nike-pro-fit-cap-schwarz-unisex
Casquette Nike,Nike,10.0,3,6,No rating,No evaluations,https://www.vinted.fr/items/6054172124-casquette-nike
Casquette Nike bleu,Nike,6.0,4,3,5,18,https://www.vinted.fr/items/6054901957-casquette-nike-bleu
Gorra Nike,Nike,8.0,2,7,3.8,27,https://www.vinted.fr/items/6054049184-gorra-nike
Nike Mütze,Nike,7.0,3,3,No rating,No evaluations,https://www.vinted.fr/items/6033664802-nike-mutze
Casquette Nike,Nike,5.0,3,23,No rating,No evaluations,https://www.vinted.fr/items/6047075054-casquette-nike
"Nike Club Cap, Größe S/M",Nike,10.0,2,1,No rating,No evaluations,https://www.vinted.fr/items/6044765149-nike-club-cap-grosse-sm
"Gorra Nike golf,apenas uso",Nike,6.0,3,8,No rating,No evaluations,https://www.vinted.fr/items/6051951266-gorra-nike-golfapenas-uso
Schwarze Nike Cap,Nike,19.0,2,0,No rating,No evaluations,https://www.vinted.fr/items/6048321412-schwarze-nike-cap
Nike Pro Fit Cap | Schwarz | Unisex,Nike,20.0,2,0,No rating,No evaluations,https://www.vinted.fr/items/6048433763-nike-pro-fit-cap-schwarz-unisex
Casquette nike,Nike,10.0,1,11,No rating,No evaluations,https://www.vinted.fr/items/6050196249-casquette-nike
Cappello Nike Barcellona,Nike,4.0,3,13,No rating,No evaluations,https://www.vinted.fr/items/6049778702-cappello-nike-barcellona
Nike Basecap,Nike,10.0,3,7,No rating,No evaluations,https://www.vinted.fr/items/6027163569-nike-basecap
Casquette Nike,Nike,10.0,3,5,No rating,No evaluations,https://www.vinted.fr/items/6052153740-casquette-nike
